device,VIN,data_collector,time_sensor,time_session,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,latitude,longitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,coolant_temp,distance_traveled_with_MIL_on,driver_behaviour_label,fuel_model_prediction_prob,fuel_rail_gauge_pressure,long_term_fuel_trim_bank_1,runtime_since_engine_start,short_term_fuel_trim_bank_1,fuel_type
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:33:35.988743,2026-02-04T14:33:34,,20.0,,70.0,933.0,9.0,0.1149216815829277,5.154716491699219,8.219294548034668,9.70263427992863,,,,-20.5,,,,,,0.0,,,0,Não identificado,,,0.0,0.6333333333333333,,,,,,,,,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:33:36.988970,2026-02-04T14:33:34,,20.0,,70.0,933.0,9.0,0.0742202550172805,5.808333396911621,6.4595561027526855,8.687238372494633,-5.8432474,-35.1977055,,-20.5,44.0,,19.0,,,425.285,,,0,Não identificado,,,0.0,0.6,75.0,,0.0,,,1.56,162.0,0.0,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:33:37.988141,2026-02-04T14:33:34,,20.0,,72.0,891.0,15.0,-0.1484405100345611,5.17626428604126,7.762001991271973,9.330831766593782,-5.8432474,-35.1977055,,-20.5,44.0,,19.0,63.14,,488.425,,,0,Não identificado,,,0.0,0.6333333333333333,75.0,,0.0,,14840.0,1.56,162.0,0.0,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:33:38.989822,2026-02-04T14:33:34,,20.0,,70.0,918.0,15.0,0.3878606855869293,2.6886885166168213,4.422090530395508,5.189832994405961,-5.8432474,-35.1977055,,-13.0,44.0,,18.0,63.14,,488.425,,,0,Não identificado,,,0.0,0.6666666666666666,75.0,,0.0,,14840.0,1.56,162.0,0.0,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:33:39.988700,2026-02-04T14:33:34,,17.0,,53.0,918.0,17.0,1.2330138683319092,4.915296077728272,12.229581832885742,13.23794283635032,-5.8432474,-35.1977055,,-13.0,44.0,,16.0,63.14,,428.06,,,0,Etanol,,,0.0,0.7333333333333333,75.0,,0.0,1.0,14840.0,1.56,162.0,0.0,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:33:40.989267,2026-02-04T14:33:34,,11.0,,53.0,1041.0,18.0,2.209848165512085,3.359065055847168,7.249642848968506,8.289998094187409,-5.8432474,-35.1977055,,-8.5,44.0,,15.0,63.14,,368.445,,,0,Etanol,,,0.0,0.7666666666666667,75.0,,0.0,0.93,14840.0,1.56,162.0,0.0,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:33:41.989992,2026-02-04T14:33:34,,11.0,,45.0,922.0,16.0,-1.0199298858642578,3.2178070545196533,7.999027729034424,8.682107107267056,-5.8434262,-35.1976828,,-5.5,44.0,,15.0,63.14,,339.08,,,0,Etanol,,,0.0,0.6666666666666666,75.0,,0.0,0.93,14840.0,1.56,162.0,0.0,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:33:42.989242,2026-02-04T14:33:34,,12.0,,47.0,896.0,15.0,-4.9368438720703125,2.8850131034851074,10.47702693939209,11.935820940062168,-5.8434262,-35.1976828,,-1.0,44.0,,15.0,63.14,,339.08,,,0,Etanol,,,0.0,0.6666666666666666,75.0,,0.0,0.97,14840.0,1.56,162.0,0.0,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:33:43.989276,2026-02-04T14:33:34,,13.0,,53.0,844.0,10.0,-3.466804027557373,2.964021682739258,9.730035781860352,10.746057463903648,-5.8434262,-35.1976828,,-1.0,44.0,,16.0,63.14,,349.44,,,0,Etanol,,,0.0,0.8666666666666667,75.0,,0.0,0.9,14840.0,1.56,162.0,0.0,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:33:44.988112,2026-02-04T14:33:34,,18.0,,69.0,860.0,10.0,-4.5609540939331055,2.248155355453491,5.698200225830078,7.637145445967971,-5.8434262,-35.1976828,,-2.5,44.0,,18.0,63.14,,370.16,,,0,Etanol,,,0.0,0.9,75.0,,0.0,0.7,14840.0,1.56,162.0,0.0,Gasolina
