device,VIN,data_collector,time_sensor,time_session,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,latitude,longitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,coolant_temp,distance_traveled_with_MIL_on,driver_behaviour_label,fuel_model_prediction_prob,fuel_rail_gauge_pressure,long_term_fuel_trim_bank_1,runtime_since_engine_start,short_term_fuel_trim_bank_1,fuel_type
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:45:38.849927,2026-02-04T14:45:37,,13.0,,50.0,989.0,0.0,-1.278503656387329,8.008605003356934,5.468356609344482,9.781372588044633,,,,-1.0,,,,,,0.0,,,0,Não identificado,,,0.0,0.8666666666666667,,,,,,,,,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:45:39.849819,2026-02-04T14:45:37,,13.0,,50.0,989.0,0.0,-1.2210428714752195,7.915230751037598,5.655104637145996,9.804184412444608,,,,-1.0,51.0,,16.0,,,168.285,,,0,Não identificado,,,0.0,0.8666666666666667,87.0,0.0,0.0,,,3.13,884.0,0.78,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:45:40.849569,2026-02-04T14:45:37,,13.0,,49.0,988.0,0.0,-1.4724340438842771,7.532158374786377,5.530605792999268,9.459866396203015,,,,-1.0,51.0,,16.0,63.14,,168.285,,,0,Não identificado,,,0.0,0.8666666666666667,87.0,0.0,0.0,,10840.0,3.13,884.0,0.78,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:45:41.850351,2026-02-04T14:45:37,,13.0,,49.0,984.0,0.0,-2.873042106628418,5.700594425201416,8.339004516601562,10.50191144863632,,,,0.0,51.0,,16.0,63.14,,168.285,,,0,Não identificado,,,0.0,0.9,87.0,0.0,0.0,,10840.0,3.13,884.0,0.78,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:45:42.850131,2026-02-04T14:45:37,,13.0,,49.0,984.0,0.0,0.1939303427934646,4.862623691558838,8.949525833129883,10.187086471676992,-5.8432169,-35.1977028,,2.0,51.0,,16.0,63.14,,168.285,,,0,Etanol,,,0.0,0.9333333333333332,87.0,0.0,0.0,0.87,10840.0,3.13,884.0,0.78,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:45:43.849599,2026-02-04T14:45:37,,20.0,,49.0,981.0,350.0,-1.4532804489135742,5.315127849578857,7.493851184844971,9.301635001501918,-5.8432169,-35.1977028,,1.5,51.0,,18.0,63.14,,278.1,,,0,Etanol,,,0.0,0.7,87.0,0.0,0.0,0.53,10840.0,3.13,884.0,0.78,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:45:44.849231,2026-02-04T14:45:37,,20.0,,83.0,911.0,350.0,-0.9816226959228516,4.125209331512451,9.220070838928224,10.148430490514423,-5.8432169,-35.1977028,,-18.0,51.0,,22.0,63.14,,325.32,,,0,Gasolina,,,0.0,0.7333333333333333,87.0,0.0,0.0,0.63,10840.0,3.13,884.0,0.78,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:45:45.849039,2026-02-04T14:45:37,,27.0,,73.0,1017.0,350.0,0.993593692779541,2.494758129119873,7.948749542236328,8.390093314996157,-5.8432169,-35.1977028,,-12.0,,,22.0,63.14,,562.975,,,0,Gasolina,,,0.0,0.6666666666666666,87.0,0.0,0.0,0.63,10840.0,3.13,884.0,0.78,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:45:46.849821,2026-02-04T14:45:37,,16.0,,59.0,912.0,350.0,-1.2018892765045166,1.1875240802764893,10.558429718017578,10.69276341197774,-5.8432169,-35.1977028,,-9.0,,,17.0,63.14,,352.61999999999995,,,0,Etanol,,,0.0,0.6666666666666666,87.0,0.0,0.0,0.87,10840.0,3.13,884.0,0.78,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:45:47.849979,2026-02-04T14:45:37,,15.0,,56.0,911.0,350.0,-2.389413356781006,4.367023944854736,8.161833763122559,9.560111123901512,-5.8432436,-35.1977113,,-9.0,51.0,,16.0,63.14,,364.095,,,0,Etanol,,,0.0,0.6,87.0,0.0,0.0,1.0,10840.0,3.13,884.0,0.78,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:45:48.851075,2026-02-04T14:45:37,,15.0,,55.0,912.0,350.0,-0.9313444495201112,4.704606533050537,8.712499618530273,9.945268961539648,-5.8432436,-35.1977113,,-7.0,51.0,,16.0,63.14,,364.095,,,0,Etanol,,,0.0,0.6,87.0,0.0,0.0,1.0,10840.0,3.13,884.0,0.78,Gasolina
,9BWAH5BZ4KP599863,App2Car,2026-02-04T14:45:49.849877,2026-02-04T14:45:37,,14.0,,54.0,912.0,15.0,-0.3711012601852417,0.9361328482627868,7.424419403076172,7.492400438289561,-5.8432436,-35.1977113,,-6.0,51.0,,16.0,63.14,,364.24,,,0,Etanol,,,0.0,0.5333333333333333,87.0,0.0,0.0,0.97,10840.0,3.13,884.0,0.78,Gasolina
